date,gold_tonnes,silver_tonnes,gold_oz,silver_oz,gold_change,gold_change_pct,silver_change,silver_change_pct
2020-06-02,8668.72559656204,34700.811582397284,278706000,1115657000,183.91485813893996,2.1675776137950686,-914.908769179252,-2.568834099515138
2020-07-02,8790.464604638451,34011.091985030296,282620000,1093482000,121.73900807641076,1.4043472332852636,-689.7195973669877,-1.9876180582383385
2020-08-02,8955.064203703438,33389.58231221915,287912000,1073500000,164.59959906498625,1.872478946995959,-621.5096728111457,-1.8273734729972735
2020-09-02,9068.965135633896,33507.744420467054,291574000,1077299000,113.90093193045868,1.271916418905783,118.16210824790323,0.35388914764789003
2020-10-02,9349.674013479986,33440.00104806275,300599000,1075121000,280.7088778460893,3.095269125505018,-67.74337240430032,-0.2021722845746754
2020-11-02,9452.066659005674,33474.86804552153,303891000,1076242000,102.39264552568784,1.0951466904414175,34.866997458775586,0.104267333630359
2020-12-02,9536.73032277266,33608.48858172395,306613000,1080538000,84.66366376698716,0.8957158981345303,133.62053620241932,0.3991667301592061
2021-01-02,9601.923210081846,34345.73429159496,308709000,1104241000,65.19288730918561,0.683597890500387,737.2457098710147,2.1936294697641356
2021-02-02,9559.249239953888,34996.20130127865,307337000,1125154000,-42.673970127958455,-0.44443148725821224,650.4670096836853,1.893880049735519
2021-03-02,9461.024460315333,35557.308022203135,304179000,1143194000,-98.22477963855454,-1.0275365478286114,561.1067209244866,1.6033360766615212
2021-04-02,9440.371751740286,35867.09865082884,303515000,1153154000,-20.652708575047654,-0.21829251854993403,309.7906286257057,0.8712432010664628
2021-05-02,9498.939598497536,36440.39793464703,305398000,1171586000,58.56784675725066,0.6203976739205697,573.299283818189,1.598398826175873
2021-06-02,9587.36678295365,36705.61728106184,308241000,1180113000,88.42718445611354,0.9309163779723351,265.21934641480766,0.7278168226660275
2021-07-02,9634.4574467829,36589.228070989804,309755000,1176371000,47.09066382925084,0.4911741137616499,-116.38921007203317,-0.317088278834321
2021-08-02,9718.250213200337,36567.23791291366,312449000,1175664000,83.79276641743672,0.8697196171167487,-21.990158076143416,-0.06010008747240336
2021-09-02,9708.608135401746,36485.9334246378,312139000,1173050000,-9.642077798591345,-0.09921619208255184,-81.30448827586224,-0.2223424379754646
2021-10-02,9661.11312637449,36110.04790787658,310612000,1160965000,-47.495009027255946,-0.4892051297659128,-375.88551676122006,-1.030220365713319
2021-11-02,9695.91791687973,36420.89605471246,311731000,1170959000,34.804790505239,0.3602565258264301,310.84814683588047,0.8608355979723648
2021-12-02,9637.16344926186,36125.25750801694,309842000,1161454000,-58.75446761786952,-0.60597117386465,-295.638546695518,-0.8117278230920011
2022-01-02,9611.192046159202,35522.06778302312,309007000,1142061000,-25.97140310265786,-0.26949219279504,-603.1897249938193,-1.669717440380758
2022-02-02,9635.950413667844,35191.46892843851,309803000,1131432000,24.75836750864255,0.25759934240974225,-330.5988545846121,-0.9306858390226158
2022-03-02,9669.355547718447,34461.68805299221,310877000,1107969000,33.40513405060301,0.34667191731518887,-729.7808754462967,-2.0737437159281336
2022-04-02,9671.688308476172,33645.56392603337,310952000,1081730000,2.3327607577248273,0.024125297143262614,-816.1241269588427,-2.3682070527244026
2022-05-02,9615.639843337261,31757.925024360087,309150000,1021041000,-56.048465138910615,-0.5795106640253289,-1887.6389016732828,-5.6103648784816995
2022-06-02,9614.395704266477,31022.763247432646,309110000,997405000,-1.244139070784513,-0.012938702895015641,-735.1617769274417,-2.3148923500623253
2022-07-02,9616.572947640352,29576.264956783307,309180000,950899000,2.1772433738751715,0.022645660120979016,-1446.4982906493387,-4.662699705736384
2022-08-02,9564.941176202732,28506.24314895381,307520000,916497000,-51.631771437620046,-0.5369040688272375,-1070.0218078294965,-3.6178395392149953
2022-09-02,9442.984443788935,27101.423517175805,303599000,871331000,-121.956732413797,-1.2750390218522312,-1404.8196317780057,-4.928112148757712
2022-10-02,9308.275285899583,26502.494968499428,299268000,852075000,-134.70915788935235,-1.4265527883820295,-598.9285486763765,-2.2099523602396753
2022-11-02,9169.0872273554,26137.713392944974,294793000,840347000,-139.18805854418315,-1.4953152358421207,-364.7815755544543,-1.3764046592142698
2022-12-02,9052.60470685306,26155.317960796594,291048000,840913000,-116.48252050233896,-1.2703829466778394,17.60456785162023,0.06735312912402591
2023-01-02,9031.889791324473,26154.198235632888,290382000,840877000,-20.71491552858788,-0.22882823451803036,-1.1197251637058798,-0.004281061179922663
2023-02-02,8990.49106374407,26347.039791604715,289051000,847077000,-41.39872758040292,-0.4583617441852317,192.8415559718269,0.7373254352301073
2023-03-02,8958.42337919456,26380.38271870178,288020000,848149000,-32.06768454950907,-0.35668446052772307,33.34292709706642,0.12655283994253974
2023-04-02,8962.964486802928,26330.71046630065,288166000,846552000,4.541107608367383,0.0506909242413478,-49.67225240113112,-0.18829238730458941
2023-05-02,8902.654845346578,26395.374594504752,286227000,848631000,-60.30964145634971,-0.6728760506097053,64.66412820410187,0.24558444135740487
2023-06-02,8864.988534978533,26747.65257239781,285016000,859957000,-37.66631036804574,-0.42309076362466724,352.27797789305623,1.3346201116857692
2023-07-02,8864.428672396678,26885.96973359244,284998000,864404000,-0.5598625818547589,-0.0063154349229654905,138.3171611946309,0.5171188791997627
2023-08-02,8787.665291729183,27305.21349697055,282530000,877883000,-76.76338066749486,-0.8659709892700929,419.2437633781119,1.5593403084668722
2023-09-02,8727.106822458674,27593.88486486967,280583000,887164000,-60.558469270508795,-0.689130357838108,288.6713678991182,1.05720238346112
2023-10-02,8587.234487425558,26401.595289858684,276086000,848831000,-139.87233503311654,-1.6027343067826716,-1192.2895750109856,-4.320847103804926
2023-11-02,8583.844208457667,26283.868630285557,275977000,845046000,-3.390278967890481,-0.039480451743278966,-117.72665957312711,-0.4459073714320083
2023-12-02,8686.392371367203,26630.76570669746,279274000,856199000,102.54816290953568,1.1946647727890447,346.897076411904,1.3198098091701471
2024-01-02,8634.667289499275,26327.755636007532,277611000,846457000,-51.725081867927656,-0.5954725466745914,-303.0100706899284,-1.1378195956781023
2024-02-02,8561.574119090597,25318.94547046071,275261000,814023000,-73.0931704086779,-0.8465082435494375,-1008.8101655468236,-3.8317362843003244
2024-03-02,8562.382809486608,25612.18904944497,275287000,823451000,0.8086903960102063,0.009445580739719794,293.24357898426024,1.1581982327280693
2024-04-02,8551.65211000108,25470.201677991517,274942000,818886000,-10.73069948552802,-0.12532375302863885,-141.9873714534515,-0.5543742129161311
2024-05-02,8540.485961840775,25883.00702167831,274583000,832158000,-11.166148160304147,-0.1305729935768274,412.8053436867922,1.620738417801748
2024-06-02,8599.147119028334,26136.15821910649,276469000,840297000,58.661157187558274,0.6868597109070729,253.15119742818206,0.9780594550554245
2024-07-02,8651.276546094268,26618.355419466374,278145000,855800000,52.12942706593458,0.6062162484763434,482.1972003598821,1.8449429189917321
2024-08-02,8675.257326683668,26245.42473299827,278916000,843810000,23.98078058939973,0.27719355012671976,-372.93068646810207,-1.4010282776349636
2024-09-02,8662.971453359656,26211.832978087048,278521000,842730000,-12.285873324011845,-0.14161969912088734,-33.59175491122369,-0.1279908984250122
2024-10-02,8775.286107974862,26628.96170504482,282132000,856141000,112.31465461520565,1.2964911083903852,417.1287269577733,1.5913756481909846
2024-11-02,8716.002881251909,26457.861479334977,280226000,850640000,-59.28322672295326,-0.6755703004267533,-171.10022570984438,-0.6425343488981383
2024-12-02,8686.050233122736,25739.495579863145,279263000,827544000,-29.952648129172303,-0.34365119582050463,-718.3658994718317,-2.715132135803622
2025-01-02,8534.66961168485,23528.442726739042,274396000,756457000,-151.38062143788557,-1.7428015884667802,-2211.0528531241034,-8.590117262647068
2025-02-02,8476.786041416532,22462.153336121904,272535000,722175000,-57.88357026831909,-0.6782168836280467,-1066.2893906171375,-4.531916553088944
2025-03-02,8488.35653477484,22126.88896002185,272907000,711396000,11.57049335830925,0.13649622984204246,-335.2643761000545,-1.492574514487477
2025-04-02,8535.696026418249,22858.78487188848,274429000,734927000,47.33949164340811,0.5576991429314893,731.8959118666316,3.307721718986323
2025-05-02,8597.7474625737,23366.829061443943,276424000,751261000,62.051436155450574,0.7269639870421729,508.04418955546134,2.2225336666090723
2025-06-02,8775.566039265788,23790.70724286073,282141000,764889000,177.81857669208875,2.0681995774607165,423.8781814167887,1.814016699921872
2025-07-02,8864.957431501762,24198.909271985616,285015000,778013000,89.3913922359734,1.0186396163620381,408.2020291248846,1.7158045154264112
2025-08-02,8831.33457311377,24646.14616445641,283934000,792392000,-33.62285838799107,-0.37927828359910487,447.2368924707953,1.8481696321269725
2025-09-02,8840.883340482053,24581.357622345233,284241000,790309000,9.548767368281915,0.10812371889241668,-64.78854211117869,-0.2628749406859199
2025-10-02,8858.487908333675,26254.600258645318,284807000,844105000,17.60456785162205,0.19912679733042893,1673.242636300085,6.806957784866419
2025-11-02,8906.79160775694,27186.4915261408,286360000,874066000,48.30369942326615,0.5452815415351475,931.8912674954809,3.5494399393440457
