state_hash,n_samples,regime,momentum,participation,mean_5d,median_5d,std_5d,min_5d,max_5d,hit_rate_5d,mean_10d,median_10d,std_10d,hit_rate_10d,mean_20d,median_20d,std_20d,hit_rate_20d,avg_mae_5d,median_mae_5d,worst_mae_5d,avg_mfe_5d,median_mfe_5d,best_mfe_5d,avg_mae_20d,avg_mfe_20d,confidence_score,risk_reward_5d,expectancy_5d,edge_class
Ru_Mv_Pc,230,uptrend,diverging,confirming,0.24278275828335008,0.42042572562710656,5.52216315637454,-17.375486871376307,21.623817243640985,54.347826086956516,0.42727629906840886,0.3723628474457691,6.981036872056652,52.60869565217391,0.2270683582498953,0.07496125803092175,9.676822267998825,50.0,-2.6345509922565626,-1.4300564132879705,-17.375486871376307,3.0209190460173314,2.06375513059128,21.623817243640985,-5.835477648170814,6.957571803088187,42.60869565217391,1.1466542325035183,0.43907402854446653,neutral
Rd_Mv_Pd,100,downtrend,diverging,distribution,-0.5250198063232101,-0.3714644104397309,3.6221750842800926,-10.781498150980724,9.698158685415068,46.0,0.011683138091187466,-0.9100785367814933,5.390438026722063,46.0,0.0009911392868731995,-0.07021423526801379,5.788868595728235,50.0,-2.2663372043981154,-1.541639425974211,-10.781498150980724,1.9125672955104667,1.3007814294007987,9.698158685415068,-4.977104368456652,4.817599487393647,42.4,0.843902351247152,-0.3440411344401676,neutral
Rr_Ma_Pd,191,range,accelerating,distribution,0.3223708116217175,0.3407554813641222,4.8610021763826,-24.875003085235523,14.933286637003294,53.92670157068062,0.47376914801752984,0.6115561980189956,7.007588504321058,54.973821989528794,1.8914356886090253,-0.2842923945592717,7.8868953345823005,48.69109947643979,-2.0872634283104565,-1.009527929178868,-24.875003085235523,2.4787291782780687,1.3626063940650126,14.933286637003294,-4.472310511139501,5.669872652402617,42.35602094240837,1.1875497575715614,0.3750257783838786,neutral
Rr_Mv_Pn,102,range,diverging,neutral,0.34736809860460477,0.1844721898440514,3.3611670932200197,-7.897471143338546,9.371980415184057,53.92156862745098,0.7819992741875684,0.8203894173579642,5.123865665505436,53.92156862745098,0.20591871829394157,0.35875584246387165,6.122414996185509,53.92156862745098,-1.5790010736686837,-0.9289531823787165,-7.897471143338546,1.9727810146704394,1.3407425511941424,9.371980415184057,-3.598929772608588,4.60288608958337,42.35294117647059,1.249385480205431,0.3361755425926083,neutral
Rr_Mv_Pd,198,range,diverging,distribution,-0.079703140939602,-0.3332479417926496,5.148008651294379,-23.47992948418583,14.304619067445936,46.96969696969697,-0.3746865370132332,-0.6763373239740534,6.6880267775486715,45.45454545454545,2.222303609328966,2.318291003156771,8.4441947992136,60.60606060606061,-2.445963554128076,-1.490520615534083,-25.333701532522053,2.401013508674988,1.5062917500808997,14.304619067445936,-4.849100948560518,5.993903580977704,41.81818181818182,0.9816227656470083,-0.16935311553875798,neutral
Ru_Mv_Pd,185,uptrend,diverging,distribution,-0.06002113589143897,0.3634460720157154,4.069279726581702,-14.845188711020096,8.749244839728542,52.43243243243243,0.8369955631370245,0.9730193033245972,5.3580005672729225,57.83783783783784,1.3861932393391603,1.0073892146202734,7.4749925312918695,55.67567567567567,-2.2035617829157483,-1.2393826572886866,-15.644259438153584,2.1712049836176854,1.5892419368455108,10.163642678301056,-4.17464471635425,5.783369747336638,41.45945945945946,0.9853161370155692,0.09023484602340326,neutral
Rr_Mc_Pt,161,range,cooling,thinning,0.12930949576550202,-0.1210892261506728,4.444381236558144,-26.31126774871208,14.434440792360087,47.82608695652174,-0.3316156210615135,-0.6290787989474443,6.992592778100444,46.58385093167702,-0.40760190366138116,-2.2630938043955533,10.25853349256119,40.37267080745342,-2.043579586383019,-1.4370870898162664,-26.31126774871208,2.2451886777365893,1.403653861019202,14.434440792360087,-6.393078544995618,5.963454986997909,41.30434782608695,1.0986548763243438,0.007570452978532982,neutral
Ru_Mv_Pt,196,uptrend,diverging,thinning,-0.06532369136195683,0.2054807265484273,5.107689532766181,-17.04578628813388,11.023230303803334,51.53061224489795,0.05795969760713978,0.5842480870712198,7.363486821967555,53.06122448979592,1.1676533531573214,1.2267951905302046,10.597516475720226,54.59183673469388,-2.8129413863951527,-1.6624834541506612,-18.31923402715993,2.7060507967383307,1.7649099682248521,13.151558576824277,-5.811785512716782,7.64315860963798,40.91836734693877,0.9620004205655331,0.031029075321590938,neutral
Ru_Mc_Pc,243,uptrend,cooling,confirming,-0.08359737013525291,0.0479201776535867,5.027785455065695,-27.377323373956227,17.684772016709402,51.028806584362144,0.3837268984229257,0.5732559478572388,6.625529127460281,53.49794238683128,2.2409646617543633,1.6607412045561487,9.7242558046649,58.43621399176955,-2.467166974580511,-1.444113562311271,-27.377323373956227,2.5254310024786517,1.954420142238215,18.392575730702777,-4.8762591220383165,7.367388965580468,40.617283950617285,1.023615761923875,0.08049619066778613,neutral
Ru_Ma_Pa,198,uptrend,accelerating,accumulation,0.1320166913174256,0.024391015566413703,3.6436429262533445,-11.236368765218993,11.291110173302794,51.010101010101,0.42031749535093493,0.24544072936114986,4.826709726724013,52.02020202020202,1.193626846235542,0.5956167784175983,6.821333294209867,56.56565656565656,-1.8943316290996195,-1.1446612492845538,-11.430449927311964,1.9991936709060454,1.229582994936635,11.291110173302794,-4.023182852963558,5.414678990100475,40.6060606060606,1.0553556939004747,0.09175955928710844,neutral
